754320637	-0.49799	-0.155855	0.170441	0.00378762	0.37053	0.928813	-3.05157e-06
762277087	-0.497983	-0.155867	0.170427	0.00381449	0.370524	0.928815	-2.79214e-06
770384333	-0.497998	-0.15584	0.170457	0.00377429	0.370541	0.928808	-3.15919e-06
778285684	-0.497984	-0.155848	0.170408	0.00383577	0.370558	0.928801	7.97096e-06
786310931	-0.497989	-0.155858	0.170425	0.00382251	0.37053	0.928813	-5.4862e-06
794318542	-0.497982	-0.155861	0.170421	0.0038252	0.370536	0.92881	-1.07825e-05
802465435	-0.497994	-0.155846	0.170445	0.00379053	0.370547	0.928806	-8.28209e-06
810333433	-0.49798	-0.155867	0.170436	0.0038035	0.370519	0.928817	-2.17844e-05
818399554	-0.497971	-0.155844	0.170437	0.00381159	0.370547	0.928806	2.37167e-06
826376554	-0.497972	-0.155875	0.170427	0.00382268	0.37053	0.928813	-1.89344e-05
834371964	-0.497988	-0.155839	0.170445	0.00379563	0.370558	0.928802	-5.69961e-06
842371831	-0.49798	-0.155863	0.170427	0.00381719	0.370541	0.928808	-8.08658e-06
850408023	-0.497974	-0.155841	0.170425	0.00382513	0.370552	0.928804	2.52047e-06
858405361	-0.497977	-0.155869	0.170416	0.00381712	0.370519	0.928817	5.23695e-06
866413202	-0.49798	-0.15586	0.170414	0.00383584	0.370552	0.928804	-5.3313e-06
874450957	-0.497978	-0.155829	0.17043	0.00381975	0.370563	0.928799	1.3156e-05
882521165	-0.497977	-0.155848	0.170408	0.00383038	0.370558	0.928801	1.86505e-05
890473522	-0.497991	-0.155855	0.170452	0.00378769	0.370541	0.928808	-1.6375e-05
898525017	-0.497972	-0.155853	0.170439	0.00380896	0.370541	0.928808	-5.61376e-06
906581787	-0.497981	-0.155845	0.170435	0.00380095	0.370547	0.928806	-3.01057e-06
914508855	-0.49798	-0.155854	0.170435	0.00380903	0.370558	0.928801	-1.8917e-05
922524406	-0.497963	-0.155853	0.170431	0.00383031	0.370547	0.928806	-8.19923e-06
930553691	-0.497967	-0.155865	0.170429	0.00381456	0.37053	0.928813	-1.61435e-05
938607666	-0.49796	-0.155862	0.170404	0.00384417	0.370536	0.92881	-8.1365e-06
946561905	-0.497962	-0.155846	0.170409	0.0038196	0.370536	0.92881	-3.07308e-07
954629490	-0.497998	-0.155847	0.170412	0.00377975	0.370564	0.928799	-2.70831e-05
962656607	-0.497969	-0.155859	0.170389	0.00382003	0.370536	0.92881	-1.75061e-09
970617205	-0.497974	-0.155851	0.170351	0.00384379	0.370541	0.928808	5.2634e-06
978658122	-0.497976	-0.155842	0.170344	0.00383606	0.370564	0.928799	-5.33031e-06
986664288	-0.497961	-0.155865	0.170333	0.00381982	0.370514	0.928819	-1.6741e-07
994714660	-0.497963	-0.155856	0.170324	0.00382252	0.370531	0.928812	-5.50977e-06
2741177	-0.49797	-0.155853	0.170303	0.00380898	0.370542	0.928808	-5.64006e-06
10721728	-0.49794	-0.155866	0.170255	0.00384908	0.370537	0.92881	-5.64469e-06
18780949	-0.497949	-0.155854	0.170249	0.00382763	0.370542	0.928808	-2.89565e-06
26844470	-0.497968	-0.15585	0.170203	0.00381721	0.370537	0.92881	-8.24656e-06
34854881	-0.497972	-0.155829	0.170216	0.0037768	0.370565	0.928799	-8.63411e-06
42764568	-0.497957	-0.155861	0.170227	0.00380104	0.370531	0.928812	-1.63576e-05
50791691	-0.497977	-0.155835	0.170249	0.00377679	0.370537	0.92881	-8.69526e-06
58863738	-0.497956	-0.155861	0.170228	0.00379573	0.370526	0.928814	-1.9072e-05
66832951	-0.497965	-0.155853	0.170205	0.00380899	0.370543	0.928808	-5.6594e-06
74813412	-0.497952	-0.155864	0.170185	0.0038248	0.370526	0.928814	-1.10472e-05
82955925	-0.497956	-0.155864	0.170173	0.00381417	0.370532	0.928812	-1.64095e-05
90999174	-0.497968	-0.155843	0.170159	0.00377922	0.370543	0.928808	-6.98098e-07
99004936	-0.497964	-0.155856	0.1701	0.00380084	0.370532	0.928812	-1.65337e-05
107033341	-0.497946	-0.155832	0.170053	0.00382475	0.370566	0.928798	2.22966e-06
115031380	-0.497949	-0.15586	0.170036	0.00380085	0.370532	0.928812	-1.65025e-05
122982175	-0.497953	-0.155839	0.169999	0.00380334	0.370572	0.928796	-2.1957e-05
131077549	-0.497923	-0.155867	0.169942	0.00382993	0.370522	0.928816	-8.48997e-06
139085251	-0.497919	-0.155848	0.169899	0.00382448	0.370522	0.928816	1.54161e-05
146962293	-0.497901	-0.155856	0.169876	0.00383767	0.37055	0.928805	2.1563e-06
154972331	-0.497912	-0.15586	0.169843	0.00383526	0.370545	0.928807	-5.77204e-06
163027350	-0.497886	-0.155858	0.169794	0.00387292	0.370539	0.928809	1.32493e-05
171034174	-0.497936	-0.155838	0.169841	0.00380314	0.370562	0.9288	-2.21418e-05
179010855	-0.497907	-0.155844	0.169774	0.00387001	0.370556	0.928802	1.84346e-05
187080466	-0.497912	-0.155857	0.169811	0.00383828	0.370545	0.928807	-1.12465e-05
195183770	-0.497924	-0.155836	0.169793	0.00384611	0.37055	0.928804	-4.51167e-07
203297404	-0.497922	-0.155849	0.169814	0.00384058	0.37055	0.928804	-3.15364e-06
211302241	-0.497932	-0.155849	0.169856	0.00378165	0.370551	0.928805	-3.2968e-05
219306210	-0.49792	-0.155836	0.16985	0.00380846	0.370567	0.928798	-1.94285e-05
227189282	-0.497907	-0.155847	0.169803	0.00384583	0.370539	0.928809	1.28593e-05
235227698	-0.497905	-0.155865	0.169829	0.00381931	0.370528	0.928813	-1.38743e-05
