762277087	0.0887623	-1.4939	1.69982	-1.76971	-1.5723	-0.722318
770384333	0.0887743	-1.49387	1.69982	-1.76969	-1.57228	-0.722318
778285684	0.0887383	-1.49391	1.69979	-1.7697	-1.57231	-0.722318
786310931	0.0887383	-1.49385	1.69983	-1.76968	-1.57228	-0.722282
794318542	0.0887503	-1.49386	1.69981	-1.76968	-1.57227	-0.72233
802465435	0.0887503	-1.49387	1.69983	-1.76969	-1.57225	-0.722318
810333433	0.0887383	-1.4939	1.69981	-1.7697	-1.57229	-0.722306
818399554	0.0887623	-1.49391	1.69984	-1.76971	-1.57225	-0.722342
826376554	0.0887383	-1.49392	1.69984	-1.76967	-1.57229	-0.722306
834371964	0.0887743	-1.4939	1.69984	-1.76969	-1.57224	-0.722306
842371831	0.0887263	-1.49391	1.69982	-1.76969	-1.57229	-0.722294
850408023	0.0887623	-1.49389	1.69983	-1.76969	-1.57227	-0.722294
858405361	0.0887263	-1.4939	1.69984	-1.76967	-1.57228	-0.722306
866413202	0.0887863	-1.49387	1.69984	-1.7697	-1.57229	-0.722318
874450957	0.0887503	-1.49386	1.69983	-1.76968	-1.57225	-0.722282
882521165	0.0887144	-1.4939	1.69983	-1.76965	-1.5723	-0.722294
890473522	0.0887503	-1.49386	1.69984	-1.76968	-1.5723	-0.72227
898525017	0.0887503	-1.49391	1.69981	-1.7697	-1.57228	-0.722306
906581787	0.0887503	-1.49392	1.69984	-1.76968	-1.57228	-0.722306
914508855	0.0887383	-1.49391	1.69984	-1.7697	-1.57229	-0.722306
922524406	0.0887383	-1.49391	1.69984	-1.7697	-1.57225	-0.722282
930553691	0.0887383	-1.49392	1.69985	-1.76965	-1.57225	-0.722306
938607666	0.0887623	-1.49392	1.69987	-1.7697	-1.57225	-0.722318
946561905	0.0887503	-1.4939	1.69989	-1.76969	-1.57224	-0.722318
954629490	0.0887383	-1.49392	1.69991	-1.76973	-1.57228	-0.72233
962656607	0.0887263	-1.4939	1.6999	-1.76983	-1.57227	-0.722282
